"neighborhood","area","bedrooms","pool","date","price"
"Neighborhood 1",1343,1,0,"Sep 2018",555647
"Neighborhood 1",1389,1,0,"Sep 2018",642679
"Neighborhood 1",1641,1,0,"Sep 2018",657775
"Neighborhood 1",1538,1,0,"Sep 2018",506894
"Neighborhood 1",1828,1,0,"Sep 2018",579775
"Neighborhood 1",1465,1,0,"Sep 2018",443609
"Neighborhood 2",2008,2,0,"Sep 2018",793990
"Neighborhood 1",1428,1,0,"Sep 2018",533341
"Neighborhood 1",1932,2,0,"Sep 2018",777280
"Neighborhood 1",1474,1,0,"Sep 2018",624845
"Neighborhood 2",2257,3,0,"Sep 2018",598117
"Neighborhood 2",2585,2,0,"Sep 2018",577691
"Neighborhood 1",1237,1,0,"Sep 2018",551718
"Neighborhood 1",1632,1,0,"Sep 2018",424053
"Neighborhood 2",2284,2,0,"Sep 2018",633345
"Neighborhood 2",2421,2,0,"Sep 2018",493090
"Neighborhood 1",1518,2,0,"Sep 2018",745783
"Neighborhood 1",1590,1,0,"Sep 2018",724901
"Neighborhood 1",1609,1,0,"Sep 2018",448169
"Neighborhood 2",2444,4,0,"Sep 2018",750023
"Neighborhood 1",1824,1,0,"Sep 2018",467623
"Neighborhood 2",2209,1,0,"Sep 2018",708194
"Neighborhood 1",1764,1,0,"Sep 2018",592519
"Neighborhood 2",2257,3,1,"Sep 2018",624761
"Neighborhood 1",1480,2,0,"Sep 2018",603949
"Neighborhood 1",1577,1,0,"Sep 2018",493502
"Neighborhood 2",2163,2,0,"Sep 2018",704625
"Neighborhood 2",2153,3,1,"Sep 2018",549267
"Neighborhood 1",1655,1,1,"Sep 2018",398389
"Neighborhood 1",1581,1,0,"Sep 2018",492666
"Neighborhood 1",1495,1,0,"Sep 2018",464419
"Neighborhood 2",2307,3,0,"Sep 2018",794082
"Neighborhood 1",1768,1,0,"Sep 2018",436409
"Neighborhood 2",2346,2,0,"Sep 2018",611648
"Neighborhood 2",2110,2,0,"Sep 2018",625235
