"neighborhood","area","bedrooms","pool","date","price"
"Neighborhood 1",1773,1,0,"Sep 2018",295811
"Neighborhood 1",1544,1,0,"Sep 2018",445264
"Neighborhood 2",2179,2,0,"Sep 2018",742818
"Neighborhood 1",1829,1,0,"Sep 2018",586992
"Neighborhood 1",2170,1,0,"Sep 2018",688187
"Neighborhood 1",1360,1,1,"Sep 2018",566032
"Neighborhood 2",2084,2,0,"Sep 2018",602477
"Neighborhood 1",1705,1,0,"Sep 2018",536208
"Neighborhood 2",2617,2,0,"Sep 2018",377687
"Neighborhood 1",1737,1,1,"Sep 2018",607557
"Neighborhood 2",2958,2,0,"Sep 2018",788683
"Neighborhood 2",2271,2,0,"Sep 2018",516753
"Neighborhood 2",2613,2,0,"Sep 2018",590470
"Neighborhood 1",1826,1,0,"Sep 2018",606657
"Neighborhood 2",2577,2,0,"Sep 2018",749642
"Neighborhood 2",2461,3,0,"Sep 2018",488734
"Neighborhood 2",2143,2,0,"Sep 2018",684716
"Neighborhood 1",1761,1,0,"Sep 2018",522797
"Neighborhood 2",2432,4,0,"Sep 2018",781088
"Neighborhood 2",2190,3,0,"Sep 2018",565388
"Neighborhood 2",2393,2,0,"Sep 2018",611559
"Neighborhood 2",2324,3,0,"Sep 2018",599750
"Neighborhood 1",1662,2,0,"Sep 2018",475711
"Neighborhood 2",2139,1,0,"Sep 2018",640708
"Neighborhood 1",1569,1,0,"Sep 2018",456439
"Neighborhood 1",1856,1,0,"Sep 2018",601356
"Neighborhood 1",1944,1,0,"Sep 2018",537592
"Neighborhood 1",1944,1,0,"Sep 2018",551637
"Neighborhood 1",1854,1,0,"Sep 2018",408785
"Neighborhood 1",1562,1,0,"Sep 2018",312893
"Neighborhood 1",1438,1,0,"Sep 2018",512248
"Neighborhood 2",2501,2,0,"Sep 2018",508049
"Neighborhood 1",1720,1,0,"Sep 2018",630478
"Neighborhood 2",2409,2,0,"Sep 2018",740417
"Neighborhood 2",2343,4,0,"Sep 2018",578093
"Neighborhood 1",1504,3,0,"Sep 2018",559923
"Neighborhood 1",1889,2,0,"Sep 2018",537884
"Neighborhood 2",2603,2,0,"Sep 2018",876085
"Neighborhood 2",2189,2,0,"Sep 2018",392048
"Neighborhood 1",1552,1,0,"Sep 2018",576431
"Neighborhood 2",2271,3,1,"Sep 2018",728946
"Neighborhood 2",2275,2,0,"Sep 2018",668314
"Neighborhood 1",1895,2,0,"Sep 2018",480574
"Neighborhood 1",1758,1,0,"Sep 2018",441073
"Neighborhood 1",1529,1,0,"Sep 2018",675728
"Neighborhood 1",2154,2,0,"Sep 2018",593172
"Neighborhood 1",1681,1,0,"Sep 2018",575263
"Neighborhood 1",1593,1,0,"Sep 2018",389136
"Neighborhood 1",1863,1,0,"Sep 2018",436385
"Neighborhood 2",2301,3,0,"Sep 2018",606383
"Neighborhood 1",1697,1,0,"Sep 2018",655758
"Neighborhood 1",1641,1,0,"Sep 2018",488135
"Neighborhood 1",1934,1,0,"Sep 2018",347957
"Neighborhood 1",2064,1,0,"Sep 2018",521524
"Neighborhood 1",1672,1,0,"Sep 2018",522129
"Neighborhood 1",1819,1,0,"Sep 2018",557410
"Neighborhood 2",2235,1,0,"Sep 2018",598942
"Neighborhood 1",1611,1,0,"Sep 2018",502625
"Neighborhood 2",2219,3,0,"Sep 2018",653147
"Neighborhood 2",2397,4,0,"Sep 2018",643453
"Neighborhood 2",2385,2,0,"Sep 2018",434275
"Neighborhood 1",1409,2,0,"Sep 2018",388663
"Neighborhood 1",1418,2,0,"Sep 2018",475439
"Neighborhood 2",2407,2,0,"Sep 2018",690397
"Neighborhood 1",1558,2,0,"Sep 2018",536665
"Neighborhood 2",2243,2,0,"Sep 2018",610331
"Neighborhood 1",2048,1,0,"Sep 2018",425876
"Neighborhood 1",1596,1,0,"Sep 2018",738299
"Neighborhood 2",2391,2,0,"Sep 2018",497159
"Neighborhood 1",1470,1,0,"Sep 2018",778463
"Neighborhood 2",2585,2,0,"Sep 2018",544546
"Neighborhood 1",1659,1,0,"Sep 2018",341929
"Neighborhood 2",2682,2,0,"Sep 2018",621372
"Neighborhood 1",1834,1,0,"Sep 2018",420013
"Neighborhood 1",1937,1,0,"Sep 2018",587292
"Neighborhood 1",1755,1,0,"Sep 2018",476167
"Neighborhood 1",1701,1,0,"Sep 2018",616575
"Neighborhood 1",1920,1,0,"Sep 2018",491875
"Neighborhood 2",2577,4,0,"Sep 2018",674707
"Neighborhood 1",1790,1,0,"Sep 2018",510330
"Neighborhood 2",2379,2,0,"Sep 2018",746404
"Neighborhood 1",1567,1,0,"Sep 2018",451068
"Neighborhood 1",1712,1,0,"Sep 2018",515985
"Neighborhood 1",1633,1,0,"Sep 2018",461999
"Neighborhood 1",1810,1,0,"Sep 2018",465207
"Neighborhood 1",1738,3,0,"Sep 2018",343132
"Neighborhood 1",1477,1,0,"Sep 2018",485432
"Neighborhood 2",2922,2,0,"Sep 2018",594109
"Neighborhood 2",2786,2,1,"Sep 2018",709993
"Neighborhood 1",1783,2,0,"Sep 2018",639888
"Neighborhood 1",1819,2,0,"Sep 2018",637741
"Neighborhood 1",1640,1,0,"Sep 2018",452371
"Neighborhood 2",2576,2,0,"Sep 2018",658474
"Neighborhood 1",1855,1,0,"Sep 2018",551067
"Neighborhood 1",1747,1,0,"Sep 2018",729460
"Neighborhood 1",1772,1,0,"Sep 2018",301343
"Neighborhood 2",2496,2,0,"Sep 2018",566879
"Neighborhood 1",2061,1,0,"Sep 2018",528495
"Neighborhood 1",1766,1,0,"Sep 2018",699818
"Neighborhood 1",1981,2,0,"Sep 2018",601779
"Neighborhood 2",2142,2,0,"Sep 2018",564584
"Neighborhood 1",1564,1,0,"Sep 2018",516088
"Neighborhood 2",2215,4,0,"Sep 2018",849766
"Neighborhood 1",1765,1,0,"Sep 2018",575001
"Neighborhood 1",1530,1,0,"Sep 2018",598995
"Neighborhood 2",2306,2,0,"Sep 2018",563880
"Neighborhood 1",1788,1,0,"Sep 2018",519037
"Neighborhood 2",2380,2,0,"Sep 2018",493683
"Neighborhood 1",1396,1,1,"Sep 2018",512596
"Neighborhood 1",1910,1,0,"Sep 2018",572297
"Neighborhood 2",2553,2,0,"Sep 2018",365019
"Neighborhood 1",1895,1,0,"Sep 2018",638703
"Neighborhood 1",1709,2,0,"Sep 2018",468977
"Neighborhood 1",2236,1,0,"Sep 2018",551566
"Neighborhood 2",2691,3,0,"Sep 2018",588103
"Neighborhood 1",1565,2,0,"Sep 2018",478635
"Neighborhood 1",1612,1,0,"Sep 2018",561654
"Neighborhood 1",1714,1,0,"Sep 2018",567302
"Neighborhood 1",1672,1,0,"Sep 2018",596591
"Neighborhood 1",1775,2,0,"Sep 2018",312720
"Neighborhood 1",2185,3,0,"Sep 2018",500850
"Neighborhood 1",1594,2,0,"Sep 2018",528125
"Neighborhood 1",1938,1,0,"Sep 2018",637056
"Neighborhood 1",1718,1,0,"Sep 2018",370658
"Neighborhood 1",1805,1,0,"Sep 2018",613983
"Neighborhood 1",1789,3,0,"Sep 2018",511758
"Neighborhood 2",2419,2,0,"Sep 2018",522158
"Neighborhood 2",2881,1,0,"Sep 2018",694872
"Neighborhood 2",2444,2,1,"Sep 2018",337098
"Neighborhood 2",2747,2,0,"Sep 2018",543885
"Neighborhood 2",2263,2,0,"Sep 2018",663027
"Neighborhood 2",2689,2,0,"Sep 2018",596040
"Neighborhood 1",1782,1,0,"Sep 2018",580387
"Neighborhood 1",1721,1,0,"Sep 2018",560242
"Neighborhood 1",1816,1,0,"Sep 2018",508618
"Neighborhood 1",1604,1,1,"Sep 2018",457919
"Neighborhood 1",1580,1,0,"Sep 2018",707572
"Neighborhood 1",1746,1,0,"Sep 2018",603278
"Neighborhood 2",2169,2,0,"Sep 2018",353227
"Neighborhood 2",2493,2,0,"Sep 2018",768171
"Neighborhood 1",1919,2,0,"Sep 2018",624016
"Neighborhood 1",1879,1,0,"Sep 2018",539497
"Neighborhood 2",2656,3,0,"Sep 2018",554912
"Neighborhood 1",1710,2,0,"Sep 2018",369273
"Neighborhood 1",1365,1,0,"Sep 2018",544555
"Neighborhood 1",1535,1,0,"Sep 2018",480639
"Neighborhood 1",1704,3,0,"Sep 2018",574015
"Neighborhood 2",2636,2,0,"Sep 2018",604771
"Neighborhood 2",2368,2,0,"Sep 2018",667555
"Neighborhood 2",2403,3,0,"Sep 2018",728638
"Neighborhood 2",2446,2,0,"Sep 2018",620266
"Neighborhood 1",1574,2,0,"Sep 2018",631066
"Neighborhood 1",1562,1,0,"Sep 2018",244631
"Neighborhood 1",1633,1,0,"Sep 2018",557153
"Neighborhood 1",1244,1,0,"Sep 2018",379940
"Neighborhood 2",2422,3,0,"Sep 2018",417855
"Neighborhood 1",1863,1,0,"Sep 2018",559158
