"ad","time","gender","age","usage","click"
"Ariana",13,"Male",24,7,0
"Ariana",17,"Female",22,2.2,0
"Billie",0,"Male",20,7.2,0
"Billie",22,"Male",26,8,1
"Ariana",10,"Male",21,6.7,0
"Ariana",0,"Male",19,1.5,0
"Billie",0,"Male",21,6.4,0
"Ariana",12,"Female",21,7.6,1
"Billie",0,"Female",21,9.4,0
"Billie",15,"Male",28,5.7,1
"Billie",13,"Male",21,6.4,1
"Billie",0,"Male",19,10.2,0
"Billie",18,"Female",21,3.4,1
"Billie",17,"Female",24,6.2,1
"Ariana",7,"Male",19,7.5,0
"Billie",20,"Male",24,10.7,1
"Billie",0,"Male",25,2.4,0
"Ariana",14,"Female",23,2.3,0
"Ariana",0,"Male",20,3.9,0
"Ariana",0,"Male",22,13.1,0
"Billie",15,"Female",25,6.3,1
"Billie",0,"Male",24,7.7,0
"Ariana",9,"Male",18,9.2,0
"Billie",22,"Male",22,2.8,1
"Billie",0,"Male",21,7.5,0
"Billie",15,"Female",24,2.4,0
"Ariana",0,"Male",27,8.8,0
"Ariana",22,"Male",19,2.4,0
"Ariana",20,"Female",22,6.8,1
"Billie",0,"Female",21,9.4,0
"Ariana",0,"Male",23,2.6,0
"Ariana",0,"Female",24,7.8,0
"Ariana",0,"Male",18,9.6,0
"Ariana",0,"Male",19,1.7,0
"Billie",17,"Male",22,5.9,1
"Billie",13,"Male",22,6.3,0
"Ariana",0,"Male",22,0.5,0
"Billie",0,"Female",25,1.4,0
"Ariana",0,"Female",21,4.1,0
"Billie",14,"Female",23,7.1,1
"Ariana",0,"Female",20,2.8,0
"Ariana",0,"Male",21,5.9,0
"Billie",26,"Male",25,3.3,0
"Ariana",0,"Male",22,7.3,0
"Ariana",0,"Female",22,5,0
"Ariana",0,"Female",24,3.2,0
"Ariana",17,"Female",20,4.3,0
"Billie",0,"Female",21,4.6,0
"Billie",0,"Female",24,10.8,0
"Ariana",0,"Male",22,1.7,0
"Ariana",13,"Male",18,3.6,0
"Ariana",12,"Female",25,6.6,1
"Billie",0,"Male",26,3.3,0
"Billie",6,"Male",22,7.3,1
"Ariana",0,"Male",19,8.3,0
"Billie",0,"Male",19,2.7,0
"Billie",10,"Female",26,1.4,0
"Billie",19,"Female",25,8.2,0
"Billie",0,"Male",25,1.5,0
"Billie",0,"Female",21,10.8,0
"Billie",0,"Male",20,6.4,0
"Billie",0,"Female",20,3,0
"Billie",0,"Female",21,4.5,0
"Billie",0,"Male",24,2.1,0
