"neighborhood","area","bedrooms","pool","date","price"
"Neighborhood 1",1657,1,0,"Sep 2018",572165
"Neighborhood 1",1752,1,0,"Sep 2018",563669
"Neighborhood 1",1553,1,0,"Sep 2018",391141
"Neighborhood 1",1657,1,0,"Sep 2018",595498
"Neighborhood 1",1835,2,0,"Sep 2018",471886
"Neighborhood 1",1733,2,0,"Sep 2018",623214
"Neighborhood 1",2162,2,0,"Sep 2018",380233
"Neighborhood 1",1773,1,0,"Sep 2018",429636
"Neighborhood 1",1511,1,0,"Sep 2018",436792
"Neighborhood 1",1529,1,1,"Sep 2018",485880
"Neighborhood 1",1608,2,0,"Sep 2018",422182
"Neighborhood 1",1769,1,0,"Sep 2018",695262
"Neighborhood 2",2411,3,0,"Sep 2018",835706
"Neighborhood 2",2585,2,1,"Sep 2018",784702
"Neighborhood 2",2564,3,0,"Sep 2018",641192
"Neighborhood 1",1793,1,0,"Sep 2018",538752
"Neighborhood 1",2022,1,0,"Sep 2018",590371
"Neighborhood 1",1763,1,0,"Sep 2018",566098
"Neighborhood 1",1828,1,0,"Sep 2018",458694
"Neighborhood 1",1583,1,0,"Sep 2018",423834
"Neighborhood 1",1769,2,0,"Sep 2018",372148
"Neighborhood 1",1735,2,0,"Sep 2018",710191
"Neighborhood 1",2103,1,0,"Sep 2018",436771
"Neighborhood 1",1337,1,0,"Sep 2018",543288
"Neighborhood 1",2112,2,0,"Sep 2018",603438
"Neighborhood 2",2494,3,0,"Sep 2018",651048
"Neighborhood 2",2167,4,0,"Sep 2018",647169
"Neighborhood 2",2151,2,0,"Sep 2018",527962
"Neighborhood 1",1820,1,0,"Sep 2018",405563
"Neighborhood 2",2361,2,0,"Sep 2018",537283
"Neighborhood 1",1419,1,0,"Sep 2018",359345
"Neighborhood 2",2712,4,1,"Sep 2018",616894
"Neighborhood 2",2792,2,0,"Sep 2018",814646
"Neighborhood 1",1656,1,0,"Sep 2018",458690
"Neighborhood 1",1711,1,1,"Sep 2018",495373
"Neighborhood 2",2530,2,0,"Sep 2018",637371
"Neighborhood 1",1790,1,0,"Sep 2018",329841
"Neighborhood 2",2472,3,0,"Sep 2018",687411
"Neighborhood 2",2584,2,0,"Sep 2018",557768
"Neighborhood 1",1743,1,0,"Sep 2018",499721
"Neighborhood 2",2020,1,0,"Sep 2018",694193
"Neighborhood 2",2538,2,1,"Sep 2018",504384
"Neighborhood 2",2384,2,0,"Sep 2018",710646
"Neighborhood 2",2410,3,1,"Sep 2018",675833
"Neighborhood 1",2132,1,0,"Sep 2018",286249
"Neighborhood 1",1589,1,0,"Sep 2018",668152
"Neighborhood 1",1740,1,0,"Sep 2018",359200
"Neighborhood 1",1530,1,0,"Sep 2018",664542
"Neighborhood 1",1717,1,0,"Sep 2018",554280
"Neighborhood 1",1835,2,0,"Sep 2018",482584
"Neighborhood 2",2589,2,0,"Sep 2018",623024
"Neighborhood 2",2045,2,0,"Sep 2018",396773
"Neighborhood 1",1610,2,0,"Sep 2018",446640
"Neighborhood 1",1612,1,0,"Sep 2018",570178
"Neighborhood 2",2343,4,0,"Sep 2018",717427
"Neighborhood 1",1761,1,1,"Sep 2018",476160
"Neighborhood 2",2561,2,0,"Sep 2018",588168
"Neighborhood 1",1622,2,0,"Sep 2018",631480
"Neighborhood 1",1384,1,0,"Sep 2018",345528
"Neighborhood 1",1546,1,0,"Sep 2018",433641
"Neighborhood 1",2054,3,0,"Sep 2018",438829
"Neighborhood 1",1643,1,0,"Sep 2018",736510
"Neighborhood 2",2045,2,0,"Sep 2018",679765
"Neighborhood 2",2597,2,0,"Sep 2018",687387
"Neighborhood 2",2146,2,0,"Sep 2018",833221
"Neighborhood 1",1536,2,0,"Sep 2018",663096
"Neighborhood 2",2281,2,0,"Sep 2018",554284
"Neighborhood 2",2168,3,0,"Sep 2018",572715
"Neighborhood 1",2227,2,0,"Sep 2018",491325
"Neighborhood 1",1907,2,0,"Sep 2018",609265
"Neighborhood 1",1597,1,0,"Sep 2018",358192
"Neighborhood 1",1600,1,0,"Sep 2018",517781
"Neighborhood 2",2638,2,0,"Sep 2018",610990
"Neighborhood 2",2270,2,0,"Sep 2018",580963
"Neighborhood 2",2270,3,0,"Sep 2018",695705
"Neighborhood 1",1482,1,0,"Sep 2018",497653
"Neighborhood 1",1879,1,0,"Sep 2018",466192
"Neighborhood 1",1832,1,0,"Sep 2018",386827
"Neighborhood 2",2563,2,1,"Sep 2018",835439
"Neighborhood 1",1698,1,0,"Sep 2018",769122
"Neighborhood 2",2572,2,1,"Sep 2018",482033
"Neighborhood 1",1871,1,0,"Sep 2018",679199
"Neighborhood 2",2166,3,1,"Sep 2018",550506
"Neighborhood 2",2725,2,0,"Sep 2018",681017
"Neighborhood 1",1927,2,0,"Sep 2018",420497
"Neighborhood 2",2135,2,0,"Sep 2018",718690
"Neighborhood 1",1404,1,0,"Sep 2018",430134
"Neighborhood 1",1626,1,0,"Sep 2018",370583
"Neighborhood 1",1679,1,0,"Sep 2018",446970
"Neighborhood 2",2315,2,0,"Sep 2018",447055
"Neighborhood 1",1670,1,0,"Sep 2018",452374
"Neighborhood 1",2048,3,0,"Sep 2018",501495
"Neighborhood 2",2009,2,0,"Sep 2018",593920
"Neighborhood 1",1378,1,0,"Sep 2018",319052
